comments	label
1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요 대단하신 분이셨군요	0
19에서 15로 바뀌고 망이 트리 탄 거	0
1년 연예 ㅋㅋ 2년 봅니다	1
1년 전인가 둘이 연남동 술집에서 술 마시는 거 봤는데 이제야 기사 뜨는구나	0
1박2일 재미 없고 이제 부도덕한 것만 생각나요 폐지하세요 학부모 입장에서 폐지 비랍니다	0
1보다 재미없어요 진짜 보다 나올 뻔	1
1부는 눈 썩는 거 같아서 2부만 봤다 정말 웃기더구먼 ㅋㅋ	0
1억도 안 아깝다	0
1일 1식보단 아침 점심만 먹고 저녁은 꾸준히 공복 유지하는 게 건강에 더 좋은 듯	0
1일 1 식은 난 못하겠네 흐흐 한상진 씨 연기 잘함	0
1회에 교도소에서 마취도 없이 자기 몸 꿰매는 거랑 뜨거운 커피 말고 차가운 거만 먹는 거 보고 아랏는데 난 무통증 무감각이라고	0
2 로도 안 되는 시청률 ㅎㅎ 연기도 못하더구먼 이 거 때문에 북을 못 가 ㅎㅎ	0
2 30대 골 빈 여자들은 이 기사에 다 모이는 건 가ㅋㅋㅋ 이래서 여자는 투표권 주면 안 된다 엠넷 사 전투표나 하고 살아야지 계집들은	2
2002년도 여름에 봤는데 서 지영이랑 스포츠카 타고 온 거 18년 전이 네 ㅎㅎ	0
2006년 포도밭 그 사나이에서 흰 가운 입은 연구원 정소영 봐라 솔까 대한민국 여배우 중에 최고로 이 쁘고 단아했다 급식충들은 멋도 모르고 윤아 아이유 떠들겠지만	4
200억 대 처 바르고 홍보를 그렇게나 했는데 시청률 5 0 가 자랑이라고 올렸냐 그리고 남녀 주인공이 비주얼이 너무 심각하고 남녀 주연들 사극 말투가 더빙한 것처럼 성우스러워서 시청률이 그 모양 그 꼴이잖아	3
2014년 카톡은 안 지우고 지끔까지 갖고 있었다는 게 놀랍다 수집하니 지 땜에 장 씨 날벼락	1
2016년 사진 이래요 ㅋ	0
2018년 마마 진정한 승자 화사	0
2020년 이 올 거 같냐 영배 야ㅋㅋㅋ	0
206000달러 중 겨우 계약금 수준인 34700을 지불 안 했다면 뭔 사정이 있을 거 같아 중립 기어 박아요	0
20년 연애 너무 멋져요 이 제 결혼하셔서 행복한 가정이 루시길	0
20년 이 넘었다 부모는 속이 타고 억울하겠지만 이 젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까 30년 지난 화성 사건은 피해 가족들은 그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될 수 있다	1
20년째 열애 중 너무 길다	7
20대 30대 남자 비율 보소 ㅋㅋㅋ 할 짓 더럽게 없나 봐 죽자고 덤벼드는 거 봐 ㅠㅠ	2
20대다 연애 많이 해봐라	3
20살 차 ㅉㅉ	3
21 에 주술 사랑	0
24살인데 술을 먹어 발랑 까졌네 고등학생 때도 먹었을 듯	3
25년 전이면 한참 팔팔할 때 오달 수도 아마 이십 대 초반 서로 어렸을 때 반공 깠던 거 같은데 저렇게 따지면 이 세상에 성범죄자 아닌 인간이 있을까 무섭다	6
25년 전이면 오달 수도 혈기 왕성할 때인데 그럴 수도 있을 듯 그리고 이 제 와 서 25년 일을 말하는 사람도 참 이해 못 하겠네 혁재에 충실하고 살 지 참	8
26년 최수종 님처럼 한 결같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게 만 살아도 싸울 일 반으로 줄이고 아내 행복하게 만들어줌	0
290억 아니고	0
29살까지 온갖 수단 다 동원해서 입대 연기하며 발 악하다가 어 쩔 수 없이 끌려가는 게 머가 대단하다고 오나 질이야 ㅋㅋ	4
2 30대 녀 쿵쾅 쿵쾅 꿀꿀 꿀	2
2년 사귀었으면 서로 온몸의 점 위치까지 다 알 듯 ㅋㅋㅋ	3
2년도 안 돼 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 그동안 에서 충분히 느낄 수 있었 새로운 삶을 사세요	1
2박 2일은 뭐니 기르기야	5
2차로 남자 집을 왜 가 무조건 남자만 탓할 일은 아니다 명백히 가려지길	6
2천만 원짜리 조리 원하며 고깃집 외식하며 참 가지가 지 한 다ㅋㅋㅋ 관심병으로 더 아프신 거 아닌 감 아무튼 건강하다니 다행이네 ㅋㅋㅋ	3
30 넘어서 공익 가는 꼴이란 ㅋㅋㅋ 진짜 모양 빠진 다ㅋㅋㅋ	3
30대 아줌마들 남에 집에 감 놔라 배 놔라 ㅋㅋㅋ	6
30대 아줌마들 고 만들 하세요	6
30대 여자들은 군대도 안 가는데 군대 이야기에 이렇게 관심이 많을까 젤 싫어하는 이야기 탑 3라면서	6
30대 여자 비율이 가장 높은 거 보니 고소영 이 뻐요 하는 이유를 알겠다 여자들 아 진심으로 한마디 하겠는데 30대 여자는 진심으로 여자로 아예 안 보여 요	2
30대 여자들 한혜진 빙의 해서 악플 다는 거 진짜 안쓰럽고 역겹 다 본인 인생이나 잘 살기를 젊은 여자들 질투하지 말고	6
33살 이 청년임 아저씨 아님	4
38살 되도록 시집 못 갔으면 뭔가 문제 있는 여자 아닌가 건 모형 그냥 거르세요 상대할 필요도 없어요	2
38세 48세로 잘못 적은 거 아닌가 ㅋㅋㅋ 할 정도로 동안이네요	7
39세라고 나와 있구먼 ㅡㅡ 양세종은 20대 아님	0
3명 중에 최종훈 이 제일 잘생겼네요	0
3번으로 탈락을 면 했군 이제 술수를 부리지 말라 티가 난다	0
3일에 12억 원어치 팔 만큼 파급력 있는 사람입니다 왜 다들 조롱만 하나요 잘 알지 못한다면 더더욱 함부로 말하면 안 되죠	0
40 50대로 가야지 할미를 부르면 우야노	2
40대 아줌마 자기들 자식들은 피시방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아 몰랑 지지하고 오후 구토 나와	4
40대 아줌마들 댓글 비율 좀 봐	6
40대 여자들이 나잇값 못하고 현빈 멋있다고 하악하악 거리는 거 개극 혐ㅋㅋㅋ 당신들의 튀어나온 뱃살과 흉 측한 얼굴을 보고 반성하길 바람	2
40대 이모라 집중이 안 됨 20살 초반으로 좀 캐스팅 좀 ㅠㅜㅠㅜ	6
40대 늙은 이 32 돌아 이런 들 쯧쯧쯧	2
40살에 폐경에 다리까지 노 답이라 이 ㅋㅋㅋ	2
40살 여 자랑 로맨스 ㅋㅋ 별로다	3
40세 이상 한 녀들은 임신도 못하는 사실상 쓸모 없는 분리수거 대상	2
40이 다 상관없다는 놈들 애들이군	3
43 1이라 행복해서 살쪘다는 걸 보여주고 싶은 건가 아니면 임 신	6
45가 정상인가 애들이 따라 할까 무섭다	3
45억 빚진 것도 신기하고 그 빚을 이미 완전 인기가 저물어도 몇 년 만에 갚는다는 게 더 신기하다 그러면 홍진영 이런 애들은 1년에 얼마 번다는 거야 ㅋㅋ	0
47 면 내 몸무겐데 난 소멸되겠다 ㅎㅎ	0
47살에 출산	3
4년 전 정준영 카톡이 이게 이렇게 큰일이냐 ㅋ 더럽네 정말 누가 봐도 꼬리 짜르 기구만	6
4억 장윤정에게는 껌값일 텐데 비정한 딸	3
52도 빼야 되냐	0
52면 날씬한 건데	7
52킬로 딱 좋아	0
52퍼 되는 여자들 강한나 테러 하네 ㅋㅋ 그 만들 하세요 님들 너무 추해 보임	2
53살 아빠 면 어 때 아빠가 곽부성인데 축하해요	0
5명이랑 관계하면 거기 아플 텐데 누구 말이 맞는 건지 어휴	6
60만 원으로 무슨 5억 피해 입은 마냥 폭로하는 놈도 그렇고 60만 원을 안 갚고 무시했던 매니저 놈도 그렇고 참 안습이다 인간들 요즘 왜 그런지 참 ㅉㅉ 신상털기 먼지 털기가 인생 낙인가 보다	0
60에서 14면 티가 나는데 120에서 14면 흠	0
68 의 아줌마들아 너희들 자식들한테 고운 말 하라고 가르치냐 너희들 댓글 모음이나 자식들 보여줘라	6
6명이 서 그깟 20년 한 거 가지고 참 ㅋㅋㅋ 강필주는 혼자 20년 기다리고 참아왔다	1
6명 전부 별론데 그나마 저 중에 문희준이 제일 인기 많았고 돈 많이 벌었고	1
6월 29일 전미선에 이어 7월 31일 박 일 성우님 올해 몇 번째 연예계 비보가 내려오는 거죠	0
75 여성 비율 30 대 37 ㅎㄷㄷ 능력 있는 한국 남성분들 국제결혼이 답입니다 일본 여자 노려보세요	6
79년생 하 하 아직도 초등학생 캐릭터 아냐 김종민도 그렇고 어른 이미지로 가는 거 별로 안 좋아할 텐데	7
82년생 김지영이는 못 나오나 보네 ㅋㅋㅋ	6
82킬로 김지영 왜 보냐 저런 쓰레기 영화 안 봄 ㅋ	2
90년대 일을 이제 와 서 웨 꺼내구니 그러시는지 사실 맞는지도 확인 안 되고 참	0
9살 딸이 지금까지 본 주말 드라마 중에 제일 재미없어 하고 끄고 양치하고 잠 새 나라의 어린이로 만들어주는 드리마 최수종 배우님 죄송ㅜㅜ	1
대 세 배우	0
여태껏 동거 한 거예요	3
그냥 눈 화장 색이 변한 거 같은데 뭐가 달라진 거죠 톤만 좀 연해진 거 같은데	0
급 가수 가수라 하기도 애매하다	1
천재 박명 수	0
아일랜드 이 홍기 원 맨 쇼지 ㅋㅋㅋ 나머지 멤버 무 쓸모	1
팬들은 사람 죽 일 정도로 극성이었다던 데	4
는 좌빨 방송인데 이래서 여자들이 문 재원 좋아하나	2
드라마는 기 대가 하나도 안 됨 본 적도 없어 에서 만들면 모를까	3
에서 연습생 한 3년은 해라	0
주말 극은 한 번씩 꿀 잼 나 잼 하는 것 같다 황금빛 보다 가 이건 못 보겠다 연기들이 너무 발 연기다	3
주말 드라마인가요	0
에서 이 영자한테 대상 준 게 이해 안 됨 안녕하세요 시 창률도 별로인데 차라리 이동국을 주지 왜	3
전문가란 직업이 있어요 금융업 억 종사하는데 저런 직업은 처음 ㅋ	0
주말 드라마 다시 했으면 ㅠㅠ	0
운동은 무슨 얼어 죽을 마녀사냥이지 운동으로 대항해야 함	2
필요 없다	4
조개 갖고 개ㅈㄹ하는 태공이나 개 촐싹대는 조 샌 징들이나 준 웃 김ㅋㅋㅋ	2
들 모임이네 뉴스에 1분도 못 나오는 뒷방 3류 아나라 잃을 것도 업신 친문 좌파 방송국 설립하려고 아나 퇴사하고 개쌉 친아나들 와 꾸만 번 지르하고 속은 맘 충들과 동급 소신 지키고 아나로서 소명을 다한 배현진이 새삼 이쁘다	4
옆에는 들이 침 흘리면서 있다는 걸 모르는 년들이 있네 무조건 남자 혐오증 걸리지 말고 연예인 인기인이라면 빤쯔 흘리는 뇬들이 얼마나 많은지 모르나	2
이라서 그런지 울 때 표정이 안 찡 그려지는 듯	3
뉴스는 연예가 중계냐 연예인 아니면 기사 쓸 거 없어	0
아닌가요 이 제	5
에 핍 박 당하고 여기서 다 끝났다고 생각하십니까 인생은 항상 반전이 있습니다 무죄로 밝혀지면 이제는 배우로 열심히 활동하면 됩니다	0
올리는 건 문제 아닌데 이걸 기사로 만들어진다는 게 문제 아닐까 ㅋㅋ	0
조선이 띄어줬는데 당연 줘야 한다고 보고 히트곡 하나 없는데 아무리 그래도 행사비를 이렇게 많이 받다니 이런 다 훅 갑니다	3
쳤으면 다야 ㅋㅋㅋ 방송에서 저딴 식으로 표현하는 건 문제 있다고 생각하는데 그리고 몰카 범죄를 우려 하는 메시지를 쓸 거였으면 다르게 표현할 방법이 충분히 많았다 제발 일 차원적으로 생각하지 마세요 좀	1
1의 인기나 인지도는 워 너원의 1 20도 안 될 것 같습니다 멤버들이 매력이 없어요	1
같은 한국 같은 법이라는 승리 놈하고 클럽 뭐 어쩌고 관련 잇던 애 아니었나 그런데 얼쩡거리고 드나들던 애들 연예계 방송가에서 퇴출하지 여자 연예인들이 인물이 그리도 없어 내가 추천 좀 해주까	5
제국 부활하자 빅뱅 컴백해서 방탄 밟자	1
올해 아이콘 빅뱅 위너 블핑 대 박 나니까 블핑 빌보드 뜨는 날 몰아서 ㅈㄹ들이네 그래도 잘 나가	1
가 망하면 안 되는 이 유 걸그룹 독보적 원톱 블랙 핑크 때문이라도 흥해야 함	0
새끼들 꼴 보기도 싫다 이제 그만 나와라 뉴스	3
가 걸그룹으로 가치고 있음 ㅋㅋㅋ 요즘 아이돌은 20살만 넘어도 늙은 거임 ㅋㅋㅋ 와이즈원 장원영 안 유진 유나 같은 애들 봐라 17살 이니까 존 나쩔지 ㅋㅋㅋ 여자는 무조건 어린 게 최고임	2
급들 기사 쓰지 말자	1
이제 한 개씩 터지는구나	0
가 최고지	0
겠지 저걸 실제로 했을까	0
가 좋아서 기대했는데 페이크 러브 정말 실망 좋다는 사람들 방탄 팬이라는 입장 떠나서 만 일 신인 그룹이 같은 노래 불렀다 쳐도 과 연 좋다고 할 수 있나 뮤비는 오글거리고	0
에서는 장난이라고 서로 때리고 욕하고 하나 봐요 누가 입사하고 싶어 하나요	0
대행진은 아나운서들만 하는 줄 알았는데	0
박준형이 이 기사를 싫어합니다	1
가 밀어주는 건 일단 의 심부터 해야 함	3
구내 식당 진짜 모든 회사들 중에서 갑이더라	0
너 같은 개돼지가 있어서 개 한민국이 엉망 진창인 거야 주제를 알아야지 일 베충만큼 개돼 지인 문베충 나라 문화 방송 말아먹는 쓰레기들	4
요즘 일반인들 섭외 ㅈㄴ 하네ㅋㅋㅋ 한심	4
몽은 욕하면서 약 쟁이는 칭찬하냐 반칙으로 딴 메달이 무슨 정당성이 있다고 어휴 개 돼지들	4
여성들 중에 가장 의욕 없고 꿀 빨래에 핑계 대기 일상인 한국 여자들이 전 세계도 아니고 선진국 여자들에 비비면서 임금 문제 거론하는 게 가장 어이 없다	2
로 열애 인정해서 맞은 거 아냐	0
2 무슨 천명훈을 말도 없이 하차 시켜요 천명훈 까리는 거 방송에 나왔습니다	0
은 진짜 또 걸리냐 ㅋㅋㅋ 불쌍하다	0
조 선 서 키워줬더니 ㅋ	1
안마 제 이튠 주식 먹튀 ㅆㄹㄱ	5
2 고재근 선생인 줄 만 알았다	0
이사지만 저 사람은 좋은 사람일 수도 있겠지 확실한 건 잠잠하다가 소속사 이미지 바닥치니까 계속 여기저기 나오고 기사 뜨는 건 기분 탓이 아닐 걸 그런 건 별로임	0
음악은 영원하다 케이팝에 음악 없으면 음악이 커지겠지요	1
내 나이 쉰 네 살인데 순간순간 옛 기억이 떠오를 때 부끄러워 나 혼자 몸이 오그라들 때가 있는데 공 배우님도 그런 느낌 아닌가요	0
한ㅅ희 나오고 나서 전혀 독특해 보이지 않음 그리고 설리가 잘못한 것도 없고 ㅡㅡ	0
그 성별 72 산이를 향한 피의 실드 오지네 ㄷㄷ	6
노무현 하지 않은 게 다행이네요	5
꼰대들 특징 나 때는 말이야 누가 뭐라고 괴롭히든 다 참고 버티고 다녔어 그만한 일로 그러냐 ㅉㅉ 약해 빠져가지고 ㅉㅉ 원래 사회 생활이 그래	3
그러고 보면 홍상수 김민희는 진짜 예쁜 사랑 하는 거였구나	0
속보 ㅈ됐다 국민가수 조용필도 빨갱이다 마 조용필이 저거 고향이 이 데고 전라도 아이라 카이	4
정용화 오빠가 죄인이면 김연아 박지성도 죄인이다 오빠 군대 잘 다녀 오세요	3
기사에서 윤 총경 승리 다 전라도 동향으로 서로 술 먹고 골프하고 승리 외 운영 술집 영업정지 외 계속 봐주고 태어나지 말고 분리되어야 할 전라도	4
그래도 반성한 거 같은데 그냥 넘어가든가	0
시즌 2 원하는 사람 아무도 없다	1
충격 결국 하나 경이 맞았네 강은 비 그렇게 안 봤는데	1
기사 쓸 게 없구나 이 딴 게 기사에 나오고 봐야 하다니	1
ㄴㅏ경원 미모 봐라 실화냐	0
ㄴ와 약쟁이	4
링 관종	1
ㅁㅊ 약쟁이 슬슬 기어 나오시고요	4
설가 쏘아 올린 핵폭발	1
ㅅㅂ 더럽게 메가를 어로 제목 뽑는 거 봐라	2
ㅅㅂ 모르고 저런 거지 알고 저랬겠냐 꼰대 새끼들 더럽게 말 많네 ㅋㅋㅋ	4
ㅅㅅ 한 게 자랑 ㅈㅅ로 그것도	2
ㅅㅅ는 언제 하셨나요	5
ㅅ 궁합이 안 맞았나 보다 ㅠ	6
ㅆㄹㄱ와 같은 한남들 말 무시하셔 요 우리 팜 파탈 나래 씨	2
ㅆ성과들과 비교가 안 되는 자연미 너무 좋다 거의 이 영애 배우 급 미모	4
온 씨뱅 마약 한 것도 성추행한 것도 아닌데 무안 줬다고 존 ㄴ 지ㄹㅏㄹ 하네ㅋㅋㅋ 여자 연예인이 감히 생글거리지 않았다고 기사 헤드라인까지 비꼬기 시전	2
ㅇㄴㅇ 멤버 중 한 명은 친할 법한데 라든지 무슨 일이 있었던 거냐	0
ㅇㅅㅇ 여자들은 싫어합니다	6
아프든 말든 뭔 상관 비호감 인건 변함 없노 ㅋㅋ	1
아직 폐지 안 했나	1
이 아줌마는 조용히 살고 싶다면서 왜 자꾸 기 어 나와 돈도 많이 벌었다고 예능에서 깝 죽거리 더구먼 진심 관종임	2
ㅇ정보부에서 조사 하나 봐요 승리 곧 자살하겠네 아니 경찰이 질소 넣고 자살했다고 하겠네	4
ㅈ 라인이 너무 이쁘다	5
전 작위적인 느낌	0
ㅈㄹ병들 사기를 치던 절도를 하던 깜방서 있어 봐라 하루라도 빨리 나오고 싶은 게 인간에 본성이 다 죄는 미워하고 사람은 똑같다	4
ㅈㄹ 염병 ㅋㅋ재산이 1조인데 천억 안 내고 머리 굴리다가 꼬시고 오지다	0
염병하고 있네 프로그램 끝나면 끝나버리는 연애 따위 이젠 안 믿는다 ㅋㅋㅋ	1
ㅈㅇ과 이별 한 아 별	5
ㅉㅉ 아빠 없이 무슨 친 가 뿌리와 족보는 제대로 알려주고 키울지 걱정이구먼	4
ㅉㅉ 하여간 지가 망하면 남 탓하고 보는 한국 사람들은 이래서 안 돼 한국은 평생 후진국이 다 대표적인 예로 문재원	4
ㅉㅉㅉ 개인이 여행 간 걸 머라고 하는 게 아니잖아 굳이 지금 이렇게 예민한 시기에 에 올린 게 문제인 거지	1
ㅉㅉㅉ 서로 원하는 거 충전 얼마나 갈지	0
ㅊㅈ 만나고 나서 많이 바뀌긴 했짘ㅋㅋㅋ	0
ㅋ 난 키 210	1
ㅋㅋ 3주는 웬만 하면 병원에서 스티커 발부해준다	3
ㅋㅋ 더럽다 진짜 ㅋㅋ	1
ㅋㅋ 문재원 이 제 하다 하다 박명수한테도 욕먹네 ㅋㅋㅋ	5
ㅋㅋ 시로 마 미루 안 된 거부터 ㅆ 주작이었다	1
ㅋㅋ 시선상 싫다는 언니들 왜 설리는 싫어하냐 ㅋㅋㅋ	2
ㅋㅋ 역시 1 화 박영후 말들이 많네 참고로 미스터 선샤 인도 1화 나오고 재미없다느니 이 해가 안 간다느니 말이 많았는데 ㅋㅋㅋ 적어도 4회 분량 까진 보고 말하자	0
ㅋㅋ 오빠들 나 이 제 스브스 아나 됐는데 내 친구가 나 까요 나 좀 도와 줘요 뭐 이런 거 너나 너 친구나 도 긴 개긴 일세 넌 이 제 신입이지 누구 같이 스타 아나도 아니다 ㅋㅋ	3
ㅋㅋ 이형 한 번에 두 명 먹었네 ㅋㅋ같이 좀 먹자	2
ㅋㅋ 작가 소설과 연기자들 연기에 놀아나는 꼴이 개꿀쟁이네	0
ㅋㅋ 첫 열애 기사 떴을 때 베데 전부 다 단톡방 내용이었는데 글 쓴 애들 쫄리겠네ㅋㅋ 제발 선처 해주지 않았으면 좋겠다	0
ㅋㅋㅋ 14킬로 뺄 게 아니라 0하나 더 붙여서 140킬로 빼야 하지 않음 보통 저런 몸은 임신도 힘들고 임신해도 차이가 없어 모르던데 출산까지 ㅋㅋㅋ 암튼 행복하게 잘 서시길	2
ㅋㅋㅋ 2018년도 재미 지네 결국 진흙탕 속으로 ㅋㅋㅋ	0
ㅋㅋㅋ 41살에 20살이랑 결혼한 다 데니 김새론 영입 하누 영계 킬러 ㅋㅋㅋ 사촌 형 ㅇㅈㄹㅋㅋ후 전 드냐 ㅋㅋ	4
ㅋㅋㅋ 가정적인 모습 보여주려고 애쓴 다 애써 사람 그렇게 쉽게 안 변한 다ㅋㅋㅋ 쇼 인도 부부 많던데 연기자 부부니 알아서들 연기는 잘 할 듯	1
ㅋㅋㅋ 강다니엘 빠순이들 많네 뭔가 있었겠지 있었으니까 저 난리 피웠겠지 맹 목적으로 만 쳐 보질 말고 실체를 봐라 쉴 그칠 게 따로 있는 거야 빠순이들아	2
ㅋㅋㅋ 개 꼬시다	1
ㅋㅋㅋ 그냥 빼도 못생긴 건 여전한데 뭐라는 거야 자기들끼리 훈훈거려 ㅌㅋㅋ	5
ㅋㅋㅋ 그럼 사기 쳤어요 하겠냐 공소시효 다 끝난 마당에	1
ㅋㅋㅋ 드라마 ㅆ나 잼 좀비들 퀄리티 무엇 ㅋㅋㅋ 다신 안 본다	0
ㅋㅋㅋ 보기 힘들어 방송활동 접었다며 편하게 얼굴 보고 밥 먹자는 건 뭐 임 ㅋㅋ	1
ㅋㅋㅋ 생각이라는 걸 하고 산다면 ㅋㅋㅋ	1
ㅋㅋㅋ 저런 것도 정신병임 정신과 상담받으세요	5
ㅋㅋㅋ 젝키 계약한 같은 꼴인가 과연 합류 이후에 결말이 어 떨지 궁금하네	3
ㅋㅋㅋ 츄 ㅋㅋㅋ 짠 내 투어에서 봤다 ㅋㅋㅋ 정말 해 맑더라 ㅋㅋㅋ	0
ㅋㅋㅋ 한국에서 더러운 불제자 태국 놈들 개 많은데 그 쉐리들도 일단 감방 보내자 ㅋㅋㅋ	4
ㅋㅋㅋ 여자들 또 우르르 몰려와서 여자까지 시작하네 ㅋㅋㅋ 진짜 과학은 틀리지 않는다	6
ㅋㅋㅋ 축구랑 타이밍 겹쳐서 네이버 1위 먹네 ㅋㅋㅋ 댓글은 축구랑 백 배 차이인데	3
ㅋㅋㅋㅅ ㅂ머야 결혼도 안 하고 그 염병하며 티브이 나왔던 거 결혼 안 하고 헤어졌으면 대 박코미디엇 네ㅋㅋ	1
ㅋㅋㅋ 개그맨 하셔도 되겠습니다 올해 들은 개그 중 최고로 웃겼습니다	0
ㅋㅋㅋ 다 알고 있지 이 제 러 브라인은 누구로 하지 김종국 전소 민우로 하자 ㅋㅋㅋ 광수야 헤어지면 다시 러 브라인 만들어 줄 게 ㅋㅋㅋ 나 혼자 산 다 전 현무 한 혜진처럼 ㅋㅋㅋ 다시 돌아와	0
ㅋㅋㅋ 정조 물 ㅋㅋㅋ	5
ㅋㅋㅋ 티브이 조선 천사네 ㅋㅋ 50퍼센트 가져가도 되는데 25퍼센트면 혜자지	0
ㅋㅋㅋ 현아 너는 섹시한 거 진짜 싫다며 근데 맨날 하는 건 섹시한 옷 표정 춤	6
ㅋㅋㅋ 욕하는 분들 평생 욕 안 해보고 사신 분 별 게 다 불편해	1
ㅋㅋㅋ ㅋㅋㅋ 사기꾼 자식이었어 ㅋㅋㅋ	3
ㅋㅋㅋ 그 대통령은 느긋하게 휴가나 즐기고 있네 ㅋㅋ	1
ㅋㅋㅋ 면허증 개같이 땄넼ㅋㅋㅋ	5
ㅋㅋㅋ 앞으로 여차 하면 한서희를 정신병자로 만들 수도 있다는 말로 들린다 더러운 제발 상장폐지되기를	4
ㅋㅋㅋ 열폭들 한다고 난리 났다 진 짴ㅋㅋㅋ	1
ㅋㅋㅋ 정말 다 짱	0
ㅋㅋㅋ 남욕하기 전에 너희들 집 구석이랑 인성부터 뒤돌아보고 댓글 써라 아 그리고 전신 거울도 영	4
ㅋㅋㅋ 애초에 여 자들이 왜 욕하는데 성 상품화 때문 아님 저 기사 댓글에 한 남 새 기들 성희롱 오 지는데 그 딴 스 레기 짓만 안 해도 성 상품화한다고 욕 먹지 않음 한남들 자기들 때문에 욕 먹는 건 모르고 좋다고 성희롱 오지네	2
ㅋㅋㅋ 마 서빙은 누가 하니 정신 차리고 퍼뜩 온나	0
ㅋㅋㅋ 아이고 핫하긴 핫 하네 기 사마다 악플 달러 달려오니	1
ㅋㅋㅋ게이인 줄 ㅋㅋㅋ 옷이랑 화장 좀 봨ㅋㅋㅋ	2
ㅋㅋㅋ당당하게 가 아니라 막 나가는 거지	0
ㅋㅋㅋ또 신고하겠다는 기사 올라오겠네 ㅋㅋㅋ 법적 대응한다고 ㅋㅋㅋ	0
ㅋㅋㅋ 아니 뭐 그럼 딸이랑 인연 끊고 살리 ㅋㅋㅋ 김치녀들 진짜 별 거 가지고 다 욕하네 ㅋㅋㅋ 세계 원정 성매매 1위 김치녀	2
ㅋㅋㅋ 재미로 사람 인생을 조지려 했다는 거 내 ㅋㅋㅋ 법이 이 따위로 벌금 맥이고 끝내니깐 재미로 저러지 남의 인생 조지려 했던 저분들 인생 조져 주세요	4
ㅋㅋㅋ 차예련이 딱히 악플 먹을 연예인이 아닌데 난 도 뭐라고 차 예련이 잘 못 했 네 그렇다고 사과할 건더기는 아니고 그냥 이해하고 넘기자 아줌마는 건들면 안 돼요 근데 그냥 좀 웃긴다	6
ㅋㅋㅋ 차유람 세뇌당해서 예수쟁이 됨 ㅋㅋㅋ	4
ㅋㅋㅋ 돈 떨어졌냐 뭐만 하면 기어들어와 ㅉㅉ 연기하다가 또 네 상황 ㅈ됐다 싶으면 그냥 또 토끼려고 이순재 배우가 너 그 딴 식으로 해서 싫어하는 거야 이쁜 척은 졸라 해대면서 책임감 없는 년	5
ㅋㅋㅋ 드라마 단막극 정도 그냥 이 승기 보러 갔다	1
ㅋㅋㅋ 복면가왕 레전드 여자가 왕은 소향이지	0
